src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,capture_time,avg_packet_size,packets_per_second,syn_count,ack_count,fin_count,rst_count,syn_ratio,bytes_per_second
103.190.198.73,192.168.1.100,443,54449,6,2,121,0.02129530906677246,2026-06-27 10:41:06,60.5,93.91739719432596,0,2,0,0,0.0,5682.00253025672
13.89.179.9,192.168.1.100,443,59938,6,3,187,1.0181026458740234,2026-06-27 10:41:38,62.333333333333336,2.946657699160139,0,3,1,1,0.0,183.67499658098203
192.168.1.100,99.86.147.37,57223,443,6,12,742,149.97572374343872,2026-06-27 10:44:08,61.833333333333336,0.080012949432591,0,10,2,3,0.0,4.947467373248544
192.168.1.1,192.168.1.100,53,61333,17,2,247,0.0034127235412597656,2026-06-27 10:42:27,123.5,586.0421964510269,0,0,0,0,0.0,72376.21126170183
192.168.1.1,192.168.1.100,53,59005,17,2,509,0.009175539016723633,2026-06-27 10:42:27,254.5,217.9708457840717,0,0,0,0,0.0,55473.58025204625
192.168.1.100,216.239.32.223,58579,443,17,18,9988,0.0864725112915039,2026-06-27 10:42:27,554.8888888888889,208.1586359776339,0,0,0,0,0.0,115504.91423025598
172.67.204.232,192.168.1.100,443,49757,6,2,121,0.22774600982666016,2026-06-27 10:43:32,60.5,8.781712582021616,0,2,0,0,0.0,531.2936112123077
192.168.1.100,99.86.147.105,57635,443,6,7,453,0.028741836547851562,2026-06-27 10:44:08,64.71428571428571,243.54741522330613,0,6,1,2,0.0,15760.997013736811
192.168.1.1,192.168.1.255,42061,20002,17,1,369,0.001,2026-06-27 10:44:10,369.0,1000.0,0,0,0,0,0.0,369000.0
192.168.1.100,52.36.2.220,60734,443,6,5,353,0.0032362937927246094,2026-06-27 10:45:25,70.6,1544.9771622218948,0,5,1,1,0.0,109075.38765286577
16.145.133.188,192.168.1.100,443,52892,6,2,121,0.2866249084472656,2026-06-27 10:46:23,60.5,6.97776062392696,0,2,0,0,0.0,422.1545177475811
16.145.133.188,192.168.1.100,443,58201,6,2,121,0.3007206916809082,2026-06-27 10:46:23,60.5,6.650689677590195,0,2,0,0,0.0,402.36672549420683
192.168.1.1,192.168.1.100,53,52330,17,2,628,0.010677576065063477,2026-06-27 10:47:20,314.0,187.30842916154964,0,0,0,0,0.0,58814.84675672658
103.190.198.72,192.168.1.100,443,57184,6,295,341605,1.1856892108917236,2026-06-27 10:48:02,1157.9830508474577,248.80044221549318,0,295,0,0,0.0,288106.69512889336
192.168.1.1,192.168.1.100,53,60439,17,2,349,0.009211063385009766,2026-06-27 10:48:02,174.5,217.13019620023815,0,0,0,0,0.0,37889.21923694156
192.168.1.1,192.168.1.100,53,51524,17,2,527,0.007460355758666992,2026-06-27 10:48:02,263.5,268.08373014604837,0,0,0,0,0.0,70640.06289348374
192.168.1.1,192.168.1.100,53,55224,17,2,247,0.002542257308959961,2026-06-27 10:48:02,123.5,786.702428959955,0,0,0,0,0.0,97157.74997655443
192.168.1.1,192.168.1.100,53,59097,17,2,509,0.0123291015625,2026-06-27 10:48:02,254.5,162.21782178217822,0,0,0,0,0.0,41284.43564356436
192.168.1.100,216.239.34.223,57091,443,17,21,12651,0.20385050773620605,2026-06-27 10:48:02,602.4285714285714,103.01666762182008,0,0,0,0,0.0,62060.183908745035
192.168.1.100,20.202.56.105,51046,50545,17,4463,3549715,455.08813190460205,2026-06-27 10:58:00,795.3652251848532,9.806891648265522,0,0,0,0,0.0,7800.060584186163
192.168.1.1,192.168.1.100,53,57954,17,2,355,0.021860122680664062,2026-06-27 10:51:06,177.5,91.49079486955763,0,0,0,0,0.0,16239.616089346478
